Feature,Importance
90.64.2_exam,1.9469164e-08
90.93.5_exam,1.9366464e-08
J01FA09_drug,1.9324245e-08
88.74.1_exam,1.9197754e-08
A10AB05_drug,1.9141794e-08
M04AC01_drug,1.8933884e-08
MW_2832_exam,1.886869e-08
4AA2F35_drug,1.8570688e-08
4AA2F99_drug,1.8455015e-08
R06AX25_drug,1.8065126e-08
90.65.1_exam,1.7626856e-08
G03CA04_drug,1.762075e-08
91.38.5_exam,1.7084204e-08
N04BC05_drug,1.7020998e-08
A03FA06_drug,1.6997957e-08
L02AE02_drug,1.6851569e-08
90.52.4_exam,1.671677e-08
90.21.4_exam,1.6290048e-08
90.23.3_exam,1.6107998e-08
4AA2F33_drug,1.5861737e-08
90.44.5_exam,1.5542287e-08
C07AA05_drug,1.5471574e-08
89.26_exam,1.5325416e-08
89.37.2_exam,1.5281188e-08
H03BB02_drug,1.511556e-08
M02AA10_drug,1.4505668e-08
91.09.4_exam,1.43441845e-08
87.22_exam,1.3937106e-08
J07AX_drug,1.36932545e-08
A12AX_drug,1.3531773e-08
N05AH03_drug,1.3495717e-08
M01AB16_drug,1.341744e-08
N05CD06_drug,1.33584965e-08
A10AB04_drug,1.3342747e-08
J01DD13_drug,1.2693697e-08
88.01.6_exam,1.2322802e-08
90.24.5_exam,1.2268857e-08
L02AE04_drug,1.1994376e-08
89.43_exam,1.1977031e-08
B03BA51_drug,1.1750606e-08
89.24_exam,1.1252411e-08
4AA2F32_drug,1.1157825e-08
88.93_exam,1.0905223e-08
88.75.1_exam,1.0737372e-08
88.79.7_exam,1.0708107e-08
R06AX27_drug,1.0689396e-08
4AA2F27_drug,1.02301865e-08
S01EC01_drug,9.90496e-09
M02AA15_drug,9.819916e-09
D07CC01_drug,9.543571e-09
A03AA05_drug,9.299109e-09
N05CD05_drug,8.813263e-09
R06AX28_drug,8.55034e-09
90.10.1_exam,7.488042e-09
N07CA52_drug,6.5136496e-09
90.43.3_exam,5.924223e-09
N06BX12_drug,5.741418e-09
91.22.4_exam,3.9737387e-09
A09AA02_drug,3.4659178e-09
90.82.3_exam,2.6599425e-09
N03AF02_drug,1.3274459e-09
D05AX52_drug,1.2597305e-09
G04CA03_drug,0.0
C09BA06_drug,0.0
C07BB07_drug,0.0
